GrantNumber,OutputId,Title,Abstract,PersistentIdentifier,PublicationDate,RepositoryLink,RepositoryName
171050,1525E899-1390-44F2-A4DD-C50D6D7E462A,Lineage tracing single cell RNA sequencing,nan,E-MTAB-8737,,https://www.ebi.ac.uk/arrayexpress/,Arrayexpress
153800,54327E8D-1F8E-4912-A8C3-F52F7B1A533B,Energiegenossenschaften der Schweiz,The survey data are about to be put on envidat repository and will be made accessible in 2020.,doi,2020-01-02,https://www.envidat.ch/ui/#/,envidat
153711,14706DDF-A335-4F33-BDA9-9F7AD1D22DA4,Energy Efficiency at University of Geneva,"Two (sub-)datasets:1.) Households - LightingHeidari, Mahbod; Yilmaz, Selin; Patel, Martin K.;LIGHTING * When using the data please refer to: Heidari, M.; van der Lans, N.; Floret, I.; Patel, M.K.: Analysis of the Energy Efficiency Potential of Household Lighting in Switzerland Using a Stock Model. Energy and Buildings158 (2018), pp. 536-548, Special Issue ""Energy Efficient LightUploaded on October 24, 2018https://zenodo.org/record/1470288#.YTWX9VUzYV0 2.) Households - White goodsYilmaz; Patel;An example implementation of the model, in the form of a Matlab code, has been made available for free download. It contains algorithms of the life-span distribution for appliances, forecasting of the stock and the corresponding electricity demand. The source code is open and may be readily adaptedUploaded on July 17, 2018https://zenodo.org/record/1313848#.YTWYHlUzYV0",https://doi.org/10.5281/zenodo.1313848,2018-10-23,https://doi.org/10.5281/zenodo.1313848,see below under Description/abstract for details
153727,D5CB603D-1C40-4654-91F4-741BC30B0EE3,Energie Enquete 2016,Erste Erhebung im Rahmen des Projektes mit 8287 befragten Personen zur Energiepolitik. Inklusive Conjoint-Module zu Energiepolitiken und zu lokalen Projekten.,Not yet,2019-02-01,https://forsbase.unil.ch/,FORSbase
153727,49FC8903-01BF-42BA-ACFE-812EE9E548B6,Energie Enquete 2017,Zweite Erhebung im Rahmen des Projektes. Kombination aus Panel-Studie (drei Wellen) sowie zusätzlichen Cross-Sections bei T2 und T3. Inklusive Conjoint-Modul zu Energiepolitiken und weiteren Experimenten zur Meinungsbildung in der Energiepolitik.Erste Welle: Panelstudie W1 inkl. Conjoint-Modul.Zweite Welle: Panelstudie W2 inkl. Informations-Experiment (Bundesbüchlein vs. easyvote); Cross-Section W2 inkl. Conjoint-Modul.Dritte Welle: Panelstudie W3 inkl. VAA-Experiment; Cross-Section W3 inkl. Conjoint-Modul.,Not yet,2019-12-31,https://forsbase.unil.ch/,FORSbase
183587,5BCDD142-1369-415D-AE14-80A18B13B676,Replication Package: Does Refactoring Break Tests and to What Extent?,nan,10.5281/zenodo.5870012,,https://zenodo.org/record/5870012#.Yea0QC1h1n4,Zenodo
179755,56E0B78F-AEAE-4823-A658-694AB19F1C7B,GA 099 page 161 and page 162,"GA 099 (BNF Copte 129 (8), page 161 and page 162 (f.162v and f.162r); transcription of George William Horner (1911, Clarendon Press, public domain); TEI/XML and HTML encoding by Mina Monier (SNSF project MARK16). Greek biblical text in Coptic characters.",https://doi.org/10.34847/nkl.d3d1coro,2021-03-01,https://nakala.fr/10.34847/nkl.d3d1coro,Nakala
179755,CB60F8A8-816B-42ED-BA5D-6A81A37D3A75,"GA 019 f.112v, f.113r, f.113v and f.114r","GA 019 (BNF Gr. 62 or Codex Regius) f.112v, f.113r, f.113v and f.114r; transcription TEI/XML and HTML by the INTF (University of Münster, DE); f.113r has been reworked by Mina Monier (SNSF MARK16)",https://doi.org/11280/4242f209,2019-09-30,https://nakala.fr/11280/4242f209,Nakala
179755,B99F7827-08EA-4593-91C6-6E2CF67D660C,"VL 16 p.87, p.88 and p.91","VL 16 (Codex Sang. 1394) p.87, p.88 and p. 91; transcription, TEI/XML and HTML encoding by Elisa Nury. The transcription is partly based on the original manuscript and John Wordsworth, W. Sanday and H. White, Portions of the Gospels according to St. Mark and St. Matthew [...] (Clarendon Press, 1886), p. 72 and 74.",https://doi.org/10.34847/nkl.0a12ue14,2021-08-24,https://nakala.fr/10.34847/nkl.0a12ue14,Nakala
179755,F41F6B5D-9BC3-43B4-ACD9-70484A18B530,"GA 2 f.117v, f.118r and f.118v","GA 2 (ULB AN IV 1), f. 117v, f.118r and f.118v transcription (TEI/XML and HTML) by Mina Monier (SNSF MARK16)",https://doi.org/10.34847/nkl.41643ld6,2020-11-30,https://nakala.fr/10.34847/nkl.41643ld6,Nakala
179755,2BB0DFA5-1D22-42FC-9007-A274F5A6B20A,GA 01 f. 227v and f. 228r,"GA 01 (BL Add. MS 43725) f. 227v. col. 4 and f. 228r; Mina Monier for f.227v col 4 (SNSF MARK16); INTF (University of Münster, DE) for f.228r.",https://doi.org/11280/97f4cc8a,2020-05-15,https://nakala.fr/11280/97f4cc8a,Nakala
161224,D99F5997-44B7-4265-9C87-B346B5AAFE18,"Material to:  Born S. (2019). Repeatedly Flashed Luminance Noise Can Make Objects Look Further Apart. i-Perception, 10(3), 1–10. doi: 10.1177/2041669519855090",nan,https://osf.io/qhdbu/,,https://osf.io/qhdbu/,Open Science Framework
161224,7609D8DD-9A8E-4E41-8897-4EED95B6C8FD,Data to: Saccadic selection does not eliminate attribute amnesia,nan,https://osf.io/acft3/,,https://osf.io/acft3/,Open Science Framework
168187,3B4BD1A4-0546-4A48-91B4-C107C4E9B233,Silica Nanoparticles Enhance Disease Resistance in Arabidopsis Plants - RAW DATA,"These datasets are used to produce the figures/graphs published in our articleSilica Nanoparticles Enhance Disease Resistance in Arabidopsis Plantsin Nat. Nanotechnol. (2020). https://doi.org/10.1038/s41565-020-00812-0 Correspondence: fabienne.schwab@alumni.ethz.ch, Tel: +41 78 736 00 19;m.shetehy@uky.edu, Tel. +41 76 455 56 02Further raw data related to qPCR and microbiology are available upon reasonable request from M.H. El‑Shetehy.Further raw data related to the nanoparticles and plant microscopy are available upon reasonable request by F. Schwab.",10.1038/s41565-020-00812-0,2020-12-07,https://zenodo.org/record/4131137,Zenodo
167955,91736DFE-9418-433B-A88B-5792A90FC8E1,The Dark Energy Survey: Data Release 1,nan,nan,2018-12-01,https://des.ncsa.illinois.edu/releases/dr1,NCSA
180040,E2657EF7-D8AA-4D60-86F3-1A0EB11F4508,The exercise paradox: Avoiding physical inactivity stimuli requires higher response inhibition,"Dataset related to the paper entitled ""Response inhibition to physical inactivity stimuli in an affective go/no-go task"". This dataset includes:1) A codebook (including the name of the main variables)--> ""code_book_Go_noGo_Miller.xlsx""2) Raw data of the behavioral outcomes (i.e., reaction times) of the affective go/no-go task--> ""corrected.behavioral.data.csv""--> ""correct_Order.csv""3) Self-reported data --> ""Self_report_data.csv""4) R script for the data management (i.e., from the raw data to data ready to be analyzed)--> ""Data_management_Self_report_go_no_go_Miller.R"" for the self-reported data (return the file: ""Data_SR_final.RData"")--> ""Data_management_behav_go_no_go_Miller.R"" for the behavioral outcomes (return the file: ""Data_GNG_behav.RData"")--> Data ready to be analyzed ""Data_GNG_final_all.RData""6) Eprime script for the affective go/no-go task (""Go_no_go_task.zip"")--> Images depicting physical activity and physical inactivity stimuli were kindly Share by Kullmann et al. (2014)7) R script for the models tested--> ""Models_GoNogo_Miller_VZenodo.R""",10.5281/zenodo.3237323,2020-02-14,https://zenodo.org/deposit/3237323,Zenodo
180040,87FEE389-D093-4118-A7A5-3316FA64CB20,The Reward of Energetic Cost Minimization,"This component contains the materials, data, and statistical processing script for Cheval, Boisgontier, Bacelar, Feiss, & Miller (2019)",10.17605/OSF.IO/8MKTH,2019-01-17,https://osf.io/8mkth/,"Materials, data, and statistical processing script for Cheval, Boisgontier, Bacelar, Feiss, & Miller"
179755,46683128-D599-4949-AAC2-A2A45E78A8E6,"fa 32 f.4r, f.4v and f.5r","fa 32 (Copt. NS n°53) f.4r, f.4v and f.5r; transcription by Anne Boud'hors (CNRS, FR) and Sofia Torallas-Tovar (University of Chicago, USA), based on Alla I. Elanskaya edition and W. P. Funk's improvements; TEI/xml et html encoding by Mina Monier (SNSF MARK16).",https://doi.org/10.34847/nkl.5fac11f0,2022-03-19,https://nakala.fr/10.34847/nkl.5fac11f0,Nakala
179755,C0C5482B-6B5A-4A13-A215-A70458EBF714,"arm 724 f.110r, f.110v, f.111r and f.111v","arm 2374 (Matenadaran 2374) f.110r, f.110v, f.111r and f.111v; transcription and English translation by Albert ten Kate (independent researcher, NL); TEI/XML and HTML encoding by Mina Monier (SNSF project MARK16). With the kind help of Dr. Ani Ghazaryan Drissi (COE) for the images (Matenadaran Monastery).",https://doi.org/10.34847/nkl.895ag279,2022-03-04,https://nakala.fr/10.34847/nkl.895ag279,Nakala
179755,AF3F04A2-881B-410A-9879-A841720C7E32,"Eth 4 f.168v, f.169r, f.169v and f. 170r","Eth 4 (NALE 28) f.168v, f.169r, f.169v and f. 170r transcription, English and French translations by Damien Labadie (CNRS); TEI/XML and HTML encoding by Mina Monier (SNSF MARK16).",https://doi.org/10.34847/nkl.afbci193,2021-06-14,https://nakala.fr/10.34847/nkl.afbci193,Nakala
179755,4B7091D0-8B0A-47CE-B125-AA1B642A85C3,GA 033 f.109v,"GA 033 (LMU Cim. 16), f. 109v; transcription, TEI/XML and HTML encoding by Mina Monier (SNSF project MARK16).",https://nakala.fr/10.34847/nkl.e1e1j658,2019-12-02,https://doi.org/10.34847/nkl.e1e1j658,Nakala
179755,79139DE1-57DD-4C9C-9B51-F3BAF70768A8,syH4 f.80r and f.80v,"syH4 (Vat. sir. 268) f.80r and f.80v; transcription, English and French translations by Albert Frey (University of Lausanne) and Sara Schulthess (SIB Swiss Institute of Bioinformatics); TEI/XML and HTML encoding by Mina Monier (SNSF project MARK16).",https://doi.org/10.34847/nkl.0eedelvl,2021-06-10,https://nakala.fr/10.34847/nkl.0eedelvl,Nakala
179755,A5F644F5-69AF-4778-9C8D-F3D9C87043B5,"GA 304 f.240r, f.240v and f.241r","GA 304 (BNF Gr. 194) f.240r, f.240v and f.241r; transcription, TEI/XML and HTML encoding and English translation by Mina Monier (SNSF MARK16)",https://doi.org/11280/0eb228ed,2020-03-09,https://www.nakala.fr/11280/0eb228ed,Nakala
179755,F3AE2390-A300-4A6D-A1AA-F55B46845D13,"GA 1230 f.146v, f.147r, f.147v and f.148r","GA 1230 (Sinai Gr. 193) f.146v, f.147r, f.147v and f.148r; transcription, TEI/XML encoding and HTML by Mina Monier (SNSF MARK16)",https://doi.org/11280/9506e5dc,2020-05-15,https://www.nakala.fr/11280/9506e5dc,Nakala
179755,0C3D0928-31A7-4A24-9D11-F589811F9759,sa 393var,"sa 393var (Coptic Amulet Ät 2006.8); transcription and French translation by Gregor Emmenegger (University of Freiburg, CH); TEI/XML and HTML encoding by Mina Monier (SNSF MARK16)",https://doi.org/11280/76f6a40d,2020-02-20,https://www.nakala.fr/11280/76f6a40d,Nakala
180040,D0B550A5-AAB5-47CF-AA9A-601C8053EA75,Attentional bias for physical activity: eye-tracking data,"This dataset includes:1) A workbook2) Raw data of the behavioral outcome (i.e., reaction times) of the visual dot probe task""dpt_sample1_27_05_2019.csv"" for the sample 1.""dpt_sample2_27_05_2019.csv"" for the sample 2.3) Raw data of the eye-tracking outcomes (i.e., Gaze Data)4) Self-reported data""data_all_SR.Rdata"" for the sample 1""data_SR1_inhib.RData"" for the sample 24) R script for the data management of the raw RT""Data_management_DPT_RT.R"". This script leads to the file ""dpt_behavioral_both_sample.RData"", which merges the behavioral data of both sample with the self-reported data.5) Raw data of the eye-tracking outcomes""Data_management_DPT_Gaze_13_06_2019"". This script leads to the file ""dpt_both_sample_EyeTrack.RData"", which merge the gaze data of both sample with the self-reported data.6) R script for the models tested on the behavioral and eye-tracking outcomes""Models_zenodo""7) the visual dot probe task (e-prime script)""DPT_Eyetracker.7z"". This file contains the e-prime script as well as the images used in the visual dot probe task",Attentional bias for physical activity: eye-tracking data,2019-06-03,https://zenodo.org/deposit/3371190,Attentional bias for physical activity: eye-tracking data
180040,56B52D78-1D0C-40C4-B903-FFEBF63C1FE8,Cognitive control-related brain activity linked to low and high energetic cost stimuli,"This project involves an experiment using a go/no-go paradigm with three conditions: avoid low energetic cost stimuli, avoid high energetic cost stimuli, and avoid stimuli unrelated to energetic cost. Electroencephalography is recorded throughout the paradigm to assess brain activity reflective of cognitive control.",10.17605/OSF.IO/RKYHB,2019-12-04,https://osf.io/rkyhb/,Cognitive control-related brain activity linked to low and high energetic cost stimuli
154802,D06EF10F-5F40-4BD3-B00D-1A9A48D8C610,"Multiproxy El Nino-Southern Oscillation 1,000 Year Reconstructions","The El Nino-Southern Oscillation (ENSO) is the earth's dominant mode of inter-annual climate variability. It alternates between warm (El Nino) and cold (La Nina) states, with global impacts on climate and society. This study provides new ENSO reconstructions based on a large, updated collection of proxy records. We use a novel reconstruction approach that employs running principal components, which allows us to take covariance changes between proxy records into account and thereby identify periods of likely teleconnection changes. Using different implementations of the principal component analysis enables us to identify periods within the last millennium when quantifications of ENSO are most robust. These periods range from 1580 to the end of the 17th century and from 1825 to present. We incorporate an assessment of consistency among our new and existing ENSO reconstructions leading to five short phases of low agreement among the reconstructions between 1700 and 1786. We find a consistent spatial pattern of proxy covariance during these four phases, differing from the structure seen over the instrumental period. This pattern points towards changes in teleconnections in the west Pacific/Australasian region, compared to the present state. Using our new reconstructions, we find a significant response of ENSO towards more La Nina-like conditions 3-5 years after major volcanic events. We further show that our new reconstructions and existing reconstructions largely agree on the state of ENSO during volcanic eruptions in the years 1695 and 1784, which helps put into perspective the climatic response to these events. During all other large volcanic eruptions of the last 1000 years, there is no reconstruction coherency with regard to the state of ENSO.",https://www.ncdc.noaa.gov/paleo-search/study/25891,2019-04-04,https://www.ncdc.noaa.gov/paleo-search/study/25891,NOAA paleoclimate database
154802,EE6AD03D-4674-4BCE-81A4-1DEBB60F3509,PAGES Antarctica2k Temperature Reconstructions,"Climate trends in the Antarctic region remain poorly characterized, owing to the brevity and scarcity of direct climate observations and the large magnitude of interannual to decadal-scale climate variability. Here, within the framework of the PAGES Antarctica2k working group, we build an enlarged database of ice core water stable isotope records from Antarctica, consisting of 112 records. We produce both unweighted and weighted isotopic (d18O) composites and temperature reconstructions since 0 CE, binned at 5- and 10-year resolution, for seven climatically distinct regions covering the Antarctic continent. Following earlier work of the Antarctica2k working group, we also produce composites and reconstructions for the broader regions of East Antarctica, West Antarctica and the whole continent. We use three methods for our temperature reconstructions: (i) a temperature scaling based on the d18O-temperature relationship output from an ECHAM5-wiso model simulation nudged to ERA-Interim atmospheric reanalyses from 1979 to 2013, and adjusted for the West Antarctic Ice Sheet region to borehole temperature data, (ii) a temperature scaling of the isotopic normalized anomalies to the variance of the regional reanalysis temperature and (iii) a composite-plus-scaling approach used in a previous continent-scale reconstruction of Antarctic temperature since 1 CE but applied to the new Antarctic ice core database. Our new reconstructions confirm a significant cooling trend from 0 to 1900 CE across all Antarctic regions where records extend back into the 1st millennium, with the exception of the Wilkes Land coast and Weddell Sea coast regions. Within this long-term cooling trend from 0 to 1900 CE, we find that the warmest period occurs between 300 and 1000 CE, and the coldest interval occurs from 1200 to 1900 CE. Since 1900 CE, significant warming trends are identified for the West Antarctic Ice Sheet, the Dronning Maud Land coast and the Antarctic Peninsula regions, and these trends are robust across the distribution of records that contribute to the unweighted isotopic composites and also significant in the weighted temperature reconstructions. Only for the Antarctic Peninsula is this most recent century-scale trend unusual in the context of natural variability over the last 2000 years. However, projected warming of the Antarctic continent during the 21st century may soon see significant and unusual warming develop across other parts of the Antarctic continent. The extended Antarctica2k ice core isotope database developed by this working group opens up many avenues for developing a deeper understanding of the response of Antarctic climate to natural and anthropogenic climate forcings. The first long-term quantification of regional climate in Antarctica presented herein is a basis for data-model comparison and assessments of past, present and future driving factors of Antarctic climate.",https://www.ncdc.noaa.gov/paleo-search/study/22589,2017-12-31,https://www.ncdc.noaa.gov/paleo-search/study/22589,NOAA paleoclimate database
179755,39C9B88A-742C-4EB0-B79E-F5BCCC771CAD,eTalk Mark16 and Digital Humanities,"This eTalk presents the main lines of a 5 years Swiss National Foundation PRIMA project, MARK16. Available on https://mark16.sib.swiss.",https://doi.org/11280/b1638bb8,2018-10-30,https://nakala.fr/11280/b1638bb8,Nakala
179755,08FD355F-6C3C-44AE-8D55-F5FE55192DA2,eTalk Le Dieu du jeune homme nu. Lectures de l'évangile de Marc,"Set de données de l'eTalk qui présente la soutenance de thèse de Corina Combet-Galland, le 9 octobre 1998 à l'Université de Neuchâtel, Suisse. Cette soutenance orale illustre une traversée sémiotique de l'Evangile selon Marc, où la finale en 16,8 joue un rôle particulier. Le texte de la thèse est disponible sur HAL et référencé dans les métadonnées. Cet eTalk a été produit en collaboration avec Claire Clivaz, dans le cadre du projet FNS MARK16. Il est disponible sur https://mark16.sib.swiss",https://doi.org/10.34847/nkl.e0e90lra,2021-01-17,https://nakala.fr/10.34847/nkl.e0e90lra,Nakala
179755,CABA05CF-3E42-4800-BA49-F8D22E337E5A,"GA 1192 f.128r, f.128v and f.129r","GA 1192 (Sinai Gr. 155) f.128r, f.128v and f.129r; transcription, TEI/XML and HTML encoding by Mina Monier (SNSF MARK16)",https://doi.org/,2020-08-04,https://nakala.fr/11280/8980d216,Nakala
179755,B41E7101-5EDF-4A24-804A-FBF0AAED1F07,"GA 2937 f.93r, f.93v, f.94r, f.94v and f.95r","GA 2937 (GOP MS 122), f.93r, f.93v, f.94r, f.94v and f.95r; TEI/XML and HTML transcription and English HTML translation by Mina Monier (SNSF project MARK16)",https://doi.org/11280/e55e51a5,2021-07-20,https://nakala.fr/11280/e55e51a5,Nakala
179755,92951CC0-A206-4A13-99AB-08E98ED3853F,eTalk Mk 16 in Codex Bobbiens: New Elements on the Shorter Ending,"This dataset provides the material to build an eTalk focused on Codex Bobbiensis and Mk 16 shorter ending. It highlights some results published by Claire Clivaz in 2021 in a article available in OA on SERVAL: Clivaz, Claire. “Mk 16 im Codex Bobbiensis. Neue Materialien zur conclusio brevior des Markusevangeliums.” Zeitschrift für Neues Testament 47/24 (2021), p. 59-85, https://serval.unil.ch/fr/notice/serval:BIB_4D607A256FE4",https://doi.org/10.34847/nkl.59e6cxd2,2021-11-25,https://nakala.fr/10.34847/nkl.59e6cxd2,Nakala
179842,324A3D48-B27B-47F9-A624-CD5F17F18469,Covid-19 Vaccine R&D Investments,"The development of safe, efficacious vaccines to tackle the COVID-19 pandemic is an issue of global public concern.  A clearer picture of who has invested, how much, when, and where, is critical to understand better the distribution of risks and potential rewards, to shed light on how R&D investments may influence who gets access to the vaccines that result, and to inform future approaches to vaccine R&D.We have gathered data from different publicly available sources on investments for COVID-19 vaccines R&D. In addition, in order to estimate the magnitude of the advanced purchase agreements (APAs) signed between countries and pharmaceutical companies to accelerate the development of COVID-19 vaccines, we have used the data from our COVID-19 Vaccine Access dataset.A selection of visualizations summarizing the data are presented below; the full dataset is available for download here, along with its associated README file.",nan,2022-02-10,https://da7af2c8-d9b0-47a3-a3f6-89c3c3bfa02c.filesusr.com/ugd/356854_3ec3468c9c3d484e8914288896abfffb.xlsx?dn=COVID19RnDinvestments.xlsx,Knowledge Portal on Innovation and Access to Medicines
179755,A14BBD58-305A-4E87-B284-9C8BAC172F79,"GA 888 f. 230v, f.231r and f.231v","GA 888 (Marciana Gr. Z. 26 (=340) f. 230v, f.231r and f.231v; transcription, TEI/XML and HTML encoding, and English translation by Mina Monier (SNSF project MARK16)",https://doi.org/11280/f936e1cc,2020-08-04,https://nakala.fr/11280/f936e1cc,Nakala
179755,0C751F75-9536-46FD-A3AC-B7DE05D51216,sa 9 f. 59v and f.60r,"sa 9 (MLM MS M.569) f.59v and f.60r; transcription, English and German translation by Katharina D. Schröder and Siegfried G. Richter (University of Münster, DE); TEI/XML and HTML encoding by Mina Monier (SNSF MARK16) and the INTF (University of Münster, DE).",https://doi.org/10.34847/nkl.6f83096n,2021-01-14,https://nakala.fr/10.34847/nkl.6f83096n,Nakala
179755,74494137-341A-476C-BC5A-B8544153B0A0,GA 1 f.220r and f.220v,"GA 1 (ULB AN IV 2) f.220r and f.220v; transcription by Mina Monier (SNSF MARK16) and Tommy Wasserman (Ansgar Teologiske Høgskole/University College, Sweden); TEI/XML and HTML encoding reworked from the INTF (Münster) version by Mina Monier.",https://doi.org/11280/e795e203,2020-06-17,https://www.nakala.fr/11280/e795e203,Nakala
179755,49C3BEC1-D899-40CB-AA6E-BB40EAA89DCF,"GA 032 page 369, page 370, page 371 and page 372","GA 032 (Codex Washington F1906.274) page 369, page 370, page 371 and page 372; transcription and TEI/XML encoding by the INTF (Münster).",https://doi.org/10.34847/nkl.4ffaz7d0,2020-05-04,https://nakala.fr/10.34847/nkl.4ffaz7d0,Nakala
179755,A7465E9D-A026-4C0C-8A3D-C00399D7CCCB,"GA 2604 f.176v, f.177r, f.177v and f.178r","GA 2604 (CBL W 139) f.176v., f.177r, f.177v and f.178r; transcription and English translation by Anthony Royle and Garrick Allen (Glasgow University, UK; Paratextual Understanding Templeton Religion Trust project); TEI/XML and HTML encoding by Mina Monier (SNSF MARK16)",https://doi.org/10.34847/nkl.cfac1n0c,2021-02-18,https://nakala.fr/10.34847/nkl.cfac1n0c,Nakala
179755,A2A96BA3-0963-4C2C-B61D-C3EB28608E7D,"GA 800 f.104v, f.105r and f.105v","GA 800 (EBE 65) f.104v, f. 105r and f.105v; transcription by Zachary Skarka (CSNTM & University of Birmingham) and Mina Monier (SNSF MARK16); TEI/XML and HTML encoding by Mina Monier.",https://doi.org/10.34847/nkl.cb56206p,2021-02-28,https://doi.org/10.34847/nkl.cb56206p,Nakala
179842,D6C3E45E-B114-4C00-936A-3F9606656FF7,Quantitative data: costs and timeframes_ non-commercial pharmaceutical R&D,A dataset containing quantitative data on costs and timeframes for the publication “Non-commercial pharmaceutical R&D: what do neglected diseases suggest about costs and efficiency?”.,https://doi.org/10.5281/zenodo.4519709,2021-02-08,https://doi.org/10.5281/zenodo.4519709,Zenodo
166533,30D16BA8-6443-4445-B496-883AF6C256C4,Phosphorylation of multiple proteins involved in ciliogenesis by Tau Tubulin kinase 2,"Abstract Primary cilia are organelles necessary for proper implementation of developmental and homeostasis processes. To initiate their assembly, coordinated actions of multiple proteins are needed. Tau tubulin kinase 2 (TTBK2) is a key player in the cilium assembly pathway, controlling final step of cilia initiation. The function of TTBK2 in ciliogenesisis critically dependent on its kinase activity, however, precise mechanism of action of this kinase is so far incompletely understood, in part due to very limited information about its relevant substrates. In this study we identify CEP83, CEP89, CCDC92, Rabin8 and DVL3 as substrates of TTBK2 kinase activity. Further, we characterise a set of phosphosites of the newly identified substrates and CEP164, induced by TTBK2 in vitro and in vivo and show that TTBK2 preferentially phosphorylates examined substrates at intrinsically disordered regions (IDRs). Intriguingly, we further show that identified TTBK2 phosphosites and consensus sequence delineated from those are distinct from motifs previously assigned to TTBK2. Finally, we address functional relevance of selected phosphorylations of CEP164 and provide evidence that the examined TTBK2-induced phosphorylations of CEP164 are relevant for the process of cilia formation. In summary, our work provides important insight into substrates-TTBK2 kinase relationship and suggests that multiple phosphorylation of IDRs is probably involved in the control of ciliogenesis in human cells.",PXD014199,2020-03-25,https://www.ebi.ac.uk/pride/archive/projects/PXD014199,PRIDE (Proteomics identifications database)
177405,1DFB0419-911D-4D0A-B0B6-01F1E6A5220B,Narratives from the Discourse on the Swiss Child and Adult Protection Policy (CAPP) between 2013 and 2016 [Dataset],"In Switzerland, the KESB authorities decide about welfare service delivery as well as about the taking of coercive measures. The authorities were created in 2013, following a change to the Swiss Civil Code (ZGB) adopted by the Swiss Parliament. Whereas most of the French-speaking cantons were able to continue working within the existing system, the changes to the Civil Code led to organizational changes in the German-speaking cantons and the Ticino.Our analysis will begin in the 1990s, when the first meetings on the reform of the guardianship system, as child and adult protection services were referred to back then, took place. We will then track the reform on the national level as well as its implementation on the cantonal level at the turn of the millennium. This will be followed by an analysis of the debate in the media and its implications for today.",https://doi.org/10.23662/FORS-DS-1271-1,,https://forsbase.unil.ch/project/study-public-overview/17485/0/,FORS
